"tree.no","spp","status","dbh","x.coord","y.coord","crown.class"
386,"A. punctatum",1,31.7,70.1179862346149,36.8577857630821,2
387,"A. punctatum",1,67.3,61.0878834773187,34.4809396684498,1
388,"A. punctatum",1,35,59.6053006895368,36.5703044929888,1
389,"A. punctatum",1,17.4,72.1618770900997,41.5698408690382,1
390,"A. punctatum",1,21.2,57.4365972588373,41.4976140788095,2
391,"A. punctatum",1,6.7,58.5172490442277,41.6797799958776,3
392,"A. punctatum",1,36.3,72.7139018201279,42.8119407893344,1
393,"N. obliqua",2,48.7,64.415565239102,28.6961957932216,3
394,"L. dentata",1,10.8,58.2880561857528,37.6524261249911,3
395,"A. punctatum",1,24,72.7766001359707,38.1820635561834,2
396,"A. punctatum",1,48.2,67.9292284871849,30.6537073064003,1
397,"L. dentata",1,14.5,74.9646574132674,40.1852264919757,3
398,"A. punctatum",1,33.5,55.7626804935727,47.8380446735027,2
399,"A. punctatum",1,17.7,67.9081500259417,32.830632538688,2
400,"A. punctatum",1,36.6,70.6833457736168,46.707347363428,1
401,"L. philippiana",1,5.9,76.9987955718586,37.1397909565738,3
402,"N. obliqua",1,86.8,56.9579474199948,48.8372050946388,1
403,"L. philippiana",1,7.1,76.3402335660553,36.3421528585259,3
404,"L. philippiana",1,6.3,75.4396911228376,41.4894592754577,3
405,"L. dentata",1,7.7,73.9486333463172,42.6794520071658,3
406,"L. philippiana",1,5.4,72.202829426033,35.5420634130565,3
407,"L. dentata",1,5.5,74.9282123500714,44.8480760082751,3
408,"N. obliqua",2,93.6,72.5233847476704,46.0518365867345,1
409,"A. punctatum",1,22.9,77.1209187101101,37.8619678829042,2
410,"P. lingue",1,57.75,77.3354433529969,38.9043286767547,1
411,"L. dentata",1,15.4,78.6650305771518,37.3889475906958,2
412,"A. punctatum",1,85.3,74.5795854329207,45.8609008740981,1
413,"L. philippiana",1,5.5,79.0172871290981,41.8433716341202,3
